r,mdot,zc
50.89832657842993,3.8767968971185245,19.435271149298263
55.91390580472411,4.113565592386727,15.414145817536445
61.42372593570639,4.307696881188526,15.414145817536445
67.47649003454171,4.472483983734759,14.267977510008587
74.12570041985755,4.617171990500828,14.267977510008587
81.43013158985791,4.744893978105495,14.267977510008587
89.45434974891967,4.854992888268094,15.414145817536445
98.26928352893266,4.947394120720167,15.414145817536445
107.95285095017285,5.025737430125775,15.414145817536445
118.59064816361555,5.084699576350193,16.652387566325327
130.27670606270297,5.124179095754977,16.652387566325327
143.11432145249918,5.144809762158315,17.990099155778324
157.21697012320283,5.138272847609685,17.990099155778324
172.7093098989671,5.111104679099496,17.990099155778324
189.72828252829441,5.049151183148947,19.435271149298263
208.42432415597068,4.961565839059904,19.435271149298263
228.96269507628506,4.838983207997504,20.99653600438444
251.5249405216513,4.681535320299919,20.99653600438444
276.3104953990075,4.492049745107923,20.99653600438444
303.5384471587737,4.262804063241078,22.683219636960388
333.4494723789294,4.000075191157029,22.683219636960388
366.30796418229795,3.7072223720097517,22.683219636960388
402.4043692919588,3.387885566296922,22.683219636960388
442.0577553827716,3.0474472237992583,22.683219636960388
485.6186314226466,2.692983734631252,22.683219636960388
533.4720459334694,2.3337189032938452,22.683219636960388
586.0409905581927,1.9795131991650705,22.683219636960388
643.7901390193169,1.6405410695821503,22.683219636960388
707.2299545186094,1.3247497566931248,20.99653600438444
776.9212018846821,1.0399001000620502,20.99653600438444
853.479904352745,0.7912151605705566,19.435271149298263
937.5827887910966,0.5823909943537032,17.990099155778324
1029.97326750645,0.4133158086327689,16.652387566325327
1131.4680095031924,0.2819860697131772,15.414145817536445
1242.9641592820267,0.18441919076800398,13.207036227366311
1365.447266987283,0.11528071645726914,12.22498464050783
1500.0000000000005,0.10190893079997956,12.22498464050783
